CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
NULL|NULL|New|no|600582|Undersea and Hyperbaric Medicine Residency Program
NULL|NULL|New|no|600583|Vascular and Interventional Radiology Residency Program
NULL|NULL|New|no|600584|Vascular Neurology Residency Program
NULL|NULL|New|no|600599|Medical Residency Programs - Subspecialty Certificates, Other
NULL|NULL|New|no|6006|Podiatric Medicine Residency Programs
NULL|NULL|New|no|600601|Podiatric Medicine and Surgery - 24 Residency Program
NULL|NULL|New|no|600602|Podiatric Medicine and Surgery - 36 Residency Program
NULL|NULL|New|no|540108|Military History
NULL|NULL|New|no|600318|Poultry Veterinarian Residency Program
NULL|NULL|New|no|600319|Veterinary Behaviorist Residency Program
NULL|NULL|New|no|600320|Veterinary Clinical Pharmacology Residency Program
01|AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES|No substantive changes|no|01|AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES
0100|Agriculture, General|No substantive changes|no|0100|Agriculture, General
010000|Agriculture, General|No substantive changes|no|010000|Agriculture, General
0101|Agricultural Business and Management|No substantive changes|no|0101|Agricultural Business and Management
010101|Agricultural Business and Management, General|No substantive changes|no|010101|Agricultural Business and Management, General
010102|Agribusiness/Agricultural Business Operations|No substantive changes|no|010102|Agribusiness/Agricultural Business Operations
010103|Agricultural Economics|No substantive changes|no|010103|Agricultural Economics
010104|Farm/Farm and Ranch Management|No substantive changes|no|010104|Farm/Farm and Ranch Management
010105|Agricultural/Farm Supplies Retailing and Wholesaling|No substantive changes|no|010105|Agricultural/Farm Supplies Retailing and Wholesaling
010106|Agricultural Business Technology|No substantive changes|no|010106|Agricultural Business Technology
010199|Agricultural Business and Management, Other|No substantive changes|no|010199|Agricultural Business and Management, Other
0102|Agricultural Mechanization|No substantive changes|no|0102|Agricultural Mechanization
010201|Agricultural Mechanization, General|No substantive changes|no|010201|Agricultural Mechanization, General
010204|Agricultural Power Machinery Operation|No substantive changes|no|010204|Agricultural Power Machinery Operation
010205|Agricultural Mechanics and Equipment/Machine Technology|No substantive changes|no|010205|Agricultural Mechanics and Equipment/Machine Technology
010299|Agricultural Mechanization, Other|No substantive changes|no|010299|Agricultural Mechanization, Other
0103|Agricultural Production Operations|No substantive changes|no|0103|Agricultural Production Operations
010301|Agricultural Production Operations, General|No substantive changes|no|010301|Agricultural Production Operations, General
010302|Animal/Livestock Husbandry and Production|No substantive changes|no|010302|Animal/Livestock Husbandry and Production
010303|Aquaculture|No substantive changes|no|010303|Aquaculture
010304|Crop Production|No substantive changes|no|010304|Crop Production
010306|Dairy Husbandry and Production|No substantive changes|no|010306|Dairy Husbandry and Production
010307|Horse Husbandry/Equine Science and Management|No substantive changes|no|010307|Horse Husbandry/Equine Science and Management
010399|Agricultural Production Operations, Other|No substantive changes|no|010399|Agricultural Production Operations, Other
0104|Agricultural and Food Products Processing|No substantive changes|no|0104|Agricultural and Food Products Processing
010401|Agricultural and Food Products Processing|No substantive changes|no|010401|Agricultural and Food Products Processing
0105|Agricultural and Domestic Animal Services|No substantive changes|no|0105|Agricultural and Domestic Animal Services
010504|Dog/Pet/Animal Grooming|No substantive changes|no|010504|Dog/Pet/Animal Grooming
010505|Animal Training|No substantive changes|no|010505|Animal Training
010507|Equestrian/Equine Studies|No substantive changes|no|010507|Equestrian/Equine Studies
010508|Taxidermy/Taxidermist|No substantive changes|no|010508|Taxidermy/Taxidermist
010599|Agricultural and Domestic Animal Services, Other|No substantive changes|no|010599|Agricultural and Domestic Animal Services, Other
0106|Applied Horticulture and Horticultural Business Services|No substantive changes|no|0106|Applied Horticulture and Horticultural Business Services
010601|Applied Horticulture/Horticulture Operations, General|No substantive changes|no|010601|Applied Horticulture/Horticulture Operations, General
010603|Ornamental Horticulture|No substantive changes|no|010603|Ornamental Horticulture
010604|Greenhouse Operations and Management|No substantive changes|no|010604|Greenhouse Operations and Management
010605|Landscaping and Groundskeeping|No substantive changes|no|010605|Landscaping and Groundskeeping
010606|Plant Nursery Operations and Management|No substantive changes|no|010606|Plant Nursery Operations and Management
010607|Turf and Turfgrass Management|No substantive changes|no|010607|Turf and Turfgrass Management
010608|Floriculture/Floristry Operations and Management|No substantive changes|no|010608|Floriculture/Floristry Operations and Management
010699|Applied Horticulture/Horticultural Business Services, Other|No substantive changes|no|010699|Applied Horticulture/Horticultural Business Services, Other
0107|International Agriculture|No substantive changes|no|0107|International Agriculture
010701|International Agriculture|No substantive changes|no|010701|International Agriculture
0108|Agricultural Public Services|No substantive changes|no|0108|Agricultural Public Services
010801|Agricultural and Extension Education Services|No substantive changes|no|010801|Agricultural and Extension Education Services
010802|Agricultural Communication/Journalism|No substantive changes|no|010802|Agricultural Communication/Journalism
010899|Agricultural Public Services, Other|No substantive changes|no|010899|Agricultural Public Services, Other
0109|Animal Sciences|No substantive changes|no|0109|Animal Sciences
010901|Animal Sciences, General|No substantive changes|no|010901|Animal Sciences, General
010902|Agricultural Animal Breeding|No substantive changes|no|010902|Agricultural Animal Breeding
010903|Animal Health|No substantive changes|no|010903|Animal Health
010904|Animal Nutrition|No substantive changes|no|010904|Animal Nutrition
010905|Dairy Science|No substantive changes|no|010905|Dairy Science
010906|Livestock Management|No substantive changes|no|010906|Livestock Management
010907|Poultry Science|No substantive changes|no|010907|Poultry Science
010999|Animal Sciences, Other|No substantive changes|no|010999|Animal Sciences, Other
0110|Food Science and Technology|No substantive changes|no|0110|Food Science and Technology
011001|Food Science|No substantive changes|no|011001|Food Science
011002|Food Technology and Processing|No substantive changes|no|011002|Food Technology and Processing
011099|Food Science and Technology, Other|No substantive changes|no|011099|Food Science and Technology, Other
0111|Plant Sciences|No substantive changes|no|0111|Plant Sciences
011101|Plant Sciences, General|No substantive changes|no|011101|Plant Sciences, General
011102|Agronomy and Crop Science|No substantive changes|no|011102|Agronomy and Crop Science
011103|Horticultural Science|No substantive changes|no|011103|Horticultural Science
011104|Agricultural and Horticultural Plant Breeding|No substantive changes|no|011104|Agricultural and Horticultural Plant Breeding
011105|Plant Protection and Integrated Pest Management|No substantive changes|yes|011105|Plant Protection and Integrated Pest Management
011106|Range Science and Management|No substantive changes|no|011106|Range Science and Management
011199|Plant Sciences, Other|No substantive changes|no|011199|Plant Sciences, Other
0112|Soil Sciences|No substantive changes|no|0112|Soil Sciences
011201|Soil Science and Agronomy, General|No substantive changes|no|011201|Soil Science and Agronomy, General
011202|Soil Chemistry and Physics|No substantive changes|no|011202|Soil Chemistry and Physics
011203|Soil Microbiology|No substantive changes|no|011203|Soil Microbiology
011299|Soil Sciences, Other|No substantive changes|no|011299|Soil Sciences, Other
0199|Agriculture, Agriculture Operations, and Related Sciences, Other|No substantive changes|no|0199|Agriculture, Agriculture Operations, and Related Sciences, Other
019999|Agriculture, Agriculture Operations, and Related Sciences, Other|No substantive changes|no|019999|Agriculture, Agriculture Operations, and Related Sciences, Other
03|NATURAL RESOURCES AND CONSERVATION|No substantive changes|no|03|NATURAL RESOURCES AND CONSERVATION
0301|Natural Resources Conservation and Research|No substantive changes|no|0301|Natural Resources Conservation and Research
030101|Natural Resources/Conservation, General|No substantive changes|no|030101|Natural Resources/Conservation, General
030103|Environmental Studies|No substantive changes|no|030103|Environmental Studies
030104|Environmental Science|No substantive changes|no|030104|Environmental Science
030199|Natural Resources Conservation and Research, Other|No substantive changes|no|030199|Natural Resources Conservation and Research, Other
0302|Natural Resources Management and Policy|No substantive changes|no|0302|Natural Resources Management and Policy
030201|Natural Resources Management and Policy|No substantive changes|no|030201|Natural Resources Management and Policy
030204|Natural Resource Economics|No substantive changes|no|030204|Natural Resource Economics
030205|Water, Wetlands, and Marine Resources Management|No substantive changes|no|030205|Water, Wetlands, and Marine Resources Management
030206|Land Use Planning and Management/Development|No substantive changes|no|030206|Land Use Planning and Management/Development
